SatisfactionScore,StockOptionLevel,MaritalStatus_Single,YearsWithoutPromotion,Age,JobLevel,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,YearsWithCurrManager,MonthlyIncome,IncomePerYearExp,YearsAtCompany,YearsInCurrentRole,CareerGrowthRate,ManagerLoyaltyRatio,DailyRate,MonthlyRate,JobRole_Laboratory Technician,HourlyRate,TrainingTimesLastYear,PercentSalaryHike,JobInvolvement,JobSatisfaction,YearsSinceLastPromotion,Department_Sales,EnvironmentSatisfaction,WorkLifeBalance,BusinessTravel_Travel_Frequently,RelationshipSatisfaction
2.5,3,False,-0.2976815130744795,1.0901940236181409,4,2.2614821417371727,1.3307629261300484,-0.8999145224423435,-0.6164064977950603,2.026752327274747,0.6214206422713178,-0.6657058719069946,-0.6253648713435828,1.2264362722738897,-1.8439046516053887,1.0494548838312443,0.9312891818499832,False,-0.9084364658301766,-0.6053893510945483,-0.3371285438317067,4,2,-0.3680243588325151,True,2,3,False,3
3.25,1,False,-0.7731870825901058,-1.634827596376192,1,-1.072674662629277,-1.0837043422612147,-0.8999145224423435,-0.8970468545147626,-0.8644084008911711,11.894219658103307,-0.8300707901019612,-0.9056351033176886,-13.75995379711816,-5.278944420756208,-0.5234492887626604,0.6827417851030926,True,1.6941112470887076,-0.6053893510945483,-0.3371285438317067,3,4,-0.0568837075118553,False,3,3,False,3
2.75,1,False,0.24818079671824012,0.9811931588183676,4,1.4920613407295304,0.1235292919344169,-0.7776101796257255,1.3480759992428557,2.3477057786207,0.9420738327144982,0.8135783918477043,1.3365267524751574,1.6050969270399391,0.7433238096035172,-0.9920800089649648,0.1677048460131447,False,-0.6629130966868856,0.1909617416204281,-0.8809737668030194,3,3,0.5653975951294642,True,1,3,False,4
2.75,0,False,0.6709188110260466,-1.307825001976872,1,-0.5597274619575152,-0.6812931308626707,0.4454332485404549,0.5061549290837488,-0.9562015179204556,-2.1718400202108117,-0.0082461991271284,-0.0648244073953713,2.2713204063241017,0.5103634880332871,-0.4536532240516788,1.667056237692766,False,-1.252169182630784,-1.401740443809525,-1.152896378288676,3,3,-0.679165010153175,True,2,3,False,3
3.0,1,False,-0.40927887606162605,0.6541905644190477,2,-0.1750170614536942,0.1235292919344169,-0.0437841227260172,0.7867952858034511,-0.1859562291243751,-0.22540615137089587,0.1561187190678381,0.7759862885269458,2.4242925599457608,0.6805488682320038,0.4910863661433924,0.7283621242933445,True,0.3191803798862782,0.1909617416204281,-0.6090511553173631,3,3,0.5653975951294642,False,4,3,True,2
2.75,0,False,-0.6088221643951393,-0.980822407577552,1,-0.816201062293396,0.9283517147315046,-0.8999145224423435,-0.6164064977950603,-0.6621195879530991,-3.6024124851582786,-0.6657058719069946,-0.6253648713435828,5.440727854457394,-1.8439046516053887,0.8799501552474323,1.4390936281414766,False,0.9084364658301766,0.9873128343354044,-0.6090511553173631,1,4,-0.0568837075118553,False,1,2,False,4
2.75,0,False,-0.31527069814375264,1.5261974828172342,1,-1.3291482629651574,-0.6812931308626707,-1.0222188652589617,-1.177687211234465,-0.8214139666854172,2.495574363010901,-0.9944357082969276,-1.1859053352917943,-3.0381445461428935,-211.65087563331622,0.0723099778775032,1.2296295097862346,False,1.497692551774075,-2.198091536524501,-1.152896378288676,3,4,-0.679165010153175,False,3,2,False,2
2.5,1,False,0.8352837292210131,0.6541905644190477,3,0.8508773398898287,2.135585348927136,2.1576940479731075,-0.8970468545147626,0.9192157021345276,0.49663782808494633,0.1561187190678381,0.7759862885269458,1.6208529519187755,-0.7759124039078258,0.6929964104858747,-0.3971250242661634,False,0.8593317920015183,-1.401740443809525,-1.152896378288676,3,1,-0.679165010153175,False,3,3,True,3
2.75,1,False,0.031048323315453596,0.3271879700197276,2,-0.816201062293396,-0.6812931308626707,0.567737591357073,-0.6164064977950603,-0.4095272869942952,-2.228126517510229,-0.3369760355170615,-0.0648244073953713,10.881455708914787,-0.9296896203077168,-1.7099823888493462,-0.4350956114580499,False,0.9084364658301766,-0.6053893510945483,-0.0652059323460503,3,1,-0.3680243588325151,True,4,3,False,3
3.75,0,False,-0.7380087124515592,-1.0898232723773251,2,-0.6879642621254556,-0.6812931308626707,0.0785202200906008,-0.0551257843556557,-0.1666087337317859,-0.5339411916937918,-0.172611117322095,-0.6253648713435828,6.40952223493102,-0.06662620867860473,-1.4931160449259393,-1.0139732081343564,False,1.5959018994313912,0.1909617416204281,-1.152896378288676,2,4,0.5653975951294642,True,4,3,False,4
2.25,0,True,0.3421889746361135,-0.1088154891793655,1,-0.1750170614536942,1.733174137528592,-0.0437841227260172,-0.335766141075358,-0.674373001701739,-0.8174387253269079,-0.3369760355170615,-0.3450946393694771,1.2121462799728804,-0.5064162972407888,1.032005867653499,-1.0298290577309683,False,0.8102271181728602,0.9873128343354044,2.1101749595392003,2,1,-0.679165010153175,True,3,3,False,2
3.0,2,False,0.35977815970538674,-0.8718215427777788,4,-0.3032538616216345,0.1235292919344169,-1.0222188652589617,0.7867952858034511,2.05942809727112,2.9557797077488144,-0.0082461991271284,0.7759862885269458,5.740971897325126,0.7933373031804563,-0.2741776290805835,-1.525393900825077,False,1.0557504873161512,-0.6053893510945483,-0.3371285438317067,2,4,-0.3680243588325151,False,4,2,False,2
